,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
187881,24,3,DL,DL,DL,DEN,CO,Colorado,LAX,CA,California,-12.0,0.0,1900-1959,-30.0,0.0,2100-2159,0.0,862.0
195649,28,7,DL,DL,DL,LAX,CA,California,JFK,NY,New York,-6.0,0.0,0900-0959,-10.0,0.0,1700-1759,0.0,2475.0
491138,21,7,AA,AA,AA,DFW,TX,Texas,MCO,FL,Florida,-4.0,0.0,1000-1059,2.0,2.0,1400-1459,0.0,985.0
495377,21,7,AA,AA,AA,ORD,IL,Illinois,CLT,NC,North Carolina,-7.0,0.0,0001-0559,-18.0,0.0,0800-0859,0.0,599.0
424797,4,4,UA,UA,UA,MCO,FL,Florida,DEN,CO,Colorado,-1.0,0.0,0600-0659,-8.0,0.0,0800-0859,0.0,1546.0
490852,20,6,AA,AA,AA,MCO,FL,Florida,LAX,CA,California,-6.0,0.0,1800-1859,-2.0,0.0,2000-2059,0.0,2218.0
486354,24,3,AA,AA,AA,LAX,CA,California,LAS,NV,Nevada,-3.0,0.0,0900-0959,-9.0,0.0,1000-1059,0.0,236.0
195236,29,1,DL,DL,DL,LAS,NV,Nevada,ATL,GA,Georgia,-3.0,0.0,1200-1259,-11.0,0.0,1900-1959,0.0,1747.0
415040,20,6,UA,UA,UA,ORD,IL,Illinois,ATL,GA,Georgia,0.0,0.0,1700-1759,-17.0,0.0,2100-2159,0.0,606.0
502248,11,4,AA,AA,AA,ORD,IL,Illinois,CLT,NC,North Carolina,20.0,20.0,1600-1659,12.0,12.0,1900-1959,0.0,599.0
184780,29,1,DL,DL,DL,MCO,FL,Florida,JFK,NY,New York,1.0,1.0,1900-1959,22.0,22.0,2200-2259,0.0,944.0
287152,3,3,NK,NK,NK,CLT,NC,North Carolina,MIA,FL,Florida,-6.0,0.0,1100-1159,-5.0,0.0,1300-1359,0.0,650.0
479430,23,2,AA,AA,AA,MIA,FL,Florida,ATL,GA,Georgia,27.0,27.0,1800-1859,21.0,21.0,2000-2059,0.0,594.0
505439,17,3,AA,AA,AA,LAS,NV,Nevada,DFW,TX,Texas,-6.0,0.0,1100-1159,-9.0,0.0,1500-1559,0.0,1055.0
501844,14,7,AA,AA,AA,LAX,CA,California,ORD,IL,Illinois,-2.0,0.0,1100-1159,-25.0,0.0,1700-1759,0.0,1744.0
462270,20,6,AA,AA,AA,MIA,FL,Florida,MCO,FL,Florida,-5.0,0.0,1200-1259,-3.0,0.0,1300-1359,0.0,192.0
453805,24,3,AA,AA,AA,JFK,NY,New York,LAX,CA,California,68.0,68.0,0700-0759,60.0,60.0,1000-1059,0.0,2475.0
54996,19,5,WN,WN,WN,MCO,FL,Florida,ORD,IL,Illinois,-5.0,0.0,0800-0859,-25.0,0.0,1000-1059,0.0,1005.0
454704,3,3,AA,AA,AA,DEN,CO,Colorado,MIA,FL,Florida,4.0,4.0,0001-0559,-7.0,0.0,0600-0659,0.0,1709.0
390275,25,4,UA,UA,UA,MCO,FL,Florida,ORD,IL,Illinois,16.0,16.0,1200-1259,3.0,3.0,1400-1459,0.0,1005.0
512669,22,1,AA,AA,AA,CLT,NC,North Carolina,MCO,FL,Florida,1.0,1.0,2200-2259,-11.0,0.0,0001-0559,0.0,468.0
168314,20,6,DL,DL,DL,MCO,FL,Florida,ATL,GA,Georgia,2.0,2.0,1000-1059,-2.0,0.0,1100-1159,0.0,404.0
177162,19,5,DL,DL,DL,ATL,GA,Georgia,LAX,CA,California,0.0,0.0,1400-1459,-21.0,0.0,1600-1659,0.0,1947.0
94448,30,2,WN,WN,WN,LAS,NV,Nevada,LAX,CA,California,-5.0,0.0,2000-2059,-14.0,0.0,2100-2159,0.0,236.0
486333,3,3,AA,AA,AA,LAX,CA,California,LAS,NV,Nevada,4.0,4.0,0900-0959,-1.0,0.0,1000-1059,0.0,236.0
503379,13,6,AA,AA,AA,MIA,FL,Florida,LAX,CA,California,-1.0,0.0,2100-2159,-6.0,0.0,0001-0559,0.0,2342.0
257017,18,4,AA,MQ,MQ,ATL,GA,Georgia,ORD,IL,Illinois,14.0,14.0,1100-1159,-3.0,0.0,1300-1359,0.0,606.0
280384,31,3,NK,NK,NK,MCO,FL,Florida,DFW,TX,Texas,-5.0,0.0,1500-1559,-21.0,0.0,1700-1759,0.0,985.0
425996,3,3,UA,UA,UA,DEN,CO,Colorado,MIA,FL,Florida,1.0,1.0,0900-0959,-4.0,0.0,1500-1559,0.0,1709.0
462299,19,5,AA,AA,AA,CLT,NC,North Carolina,MCO,FL,Florida,-8.0,0.0,1200-1259,-14.0,0.0,1400-1459,0.0,468.0
459608,11,4,AA,AA,AA,LAS,NV,Nevada,MIA,FL,Florida,39.0,39.0,2300-2359,9.0,9.0,0700-0759,0.0,2174.0
145767,25,4,B6,B6,B6,JFK,NY,New York,LAX,CA,California,1.0,1.0,2000-2059,-44.0,0.0,0001-0559,0.0,2475.0
195547,1,1,DL,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,-3.0,0.0,2200-2259,-16.0,0.0,2300-2359,0.0,1199.0
570071,5,5,B6,B6,B6,MCO,FL,Florida,JFK,NY,New York,-1.0,0.0,0001-0559,-11.0,0.0,0700-0759,0.0,944.0
381440,13,6,UA,UA,UA,MCO,FL,Florida,ORD,IL,Illinois,,,1000-1059,,,1200-1259,1.0,1005.0
360904,15,1,DL,OO,OO,ORD,IL,Illinois,JFK,NY,New York,63.0,63.0,1400-1459,49.0,49.0,1700-1759,0.0,740.0
521369,11,4,AA,AA,AA,LAX,CA,California,DFW,TX,Texas,19.0,19.0,2300-2359,-3.0,0.0,0001-0559,0.0,1235.0
463374,17,3,AA,AA,AA,ATL,GA,Georgia,DFW,TX,Texas,14.0,14.0,0700-0759,44.0,44.0,0900-0959,0.0,731.0
456056,20,6,AA,AA,AA,MIA,FL,Florida,LAX,CA,California,-2.0,0.0,1500-1559,7.0,7.0,1800-1859,0.0,2342.0
466861,29,1,AA,AA,AA,CLT,NC,North Carolina,ORD,IL,Illinois,6.0,6.0,0900-0959,-15.0,0.0,1000-1059,0.0,599.0
285819,6,6,NK,NK,NK,LAS,NV,Nevada,DFW,TX,Texas,-1.0,0.0,0800-0859,-8.0,0.0,1200-1259,0.0,1055.0
455725,13,6,AA,AA,AA,JFK,NY,New York,LAX,CA,California,-6.0,0.0,1500-1559,-34.0,0.0,1800-1859,0.0,2475.0
304610,20,6,AA,OH,OH,ATL,GA,Georgia,CLT,NC,North Carolina,5.0,5.0,1800-1859,-4.0,0.0,2000-2059,0.0,226.0
374843,28,7,UA,UA,UA,DEN,CO,Colorado,MIA,FL,Florida,2.0,2.0,1700-1759,-2.0,0.0,2300-2359,0.0,1709.0
454894,13,6,AA,AA,AA,MIA,FL,Florida,LAX,CA,California,1.0,1.0,1800-1859,4.0,4.0,2000-2059,0.0,2342.0
192975,2,2,DL,DL,DL,LAX,CA,California,MCO,FL,Florida,-2.0,0.0,1000-1059,-22.0,0.0,1800-1859,0.0,2218.0
510228,23,2,AA,AA,AA,LAX,CA,California,DFW,TX,Texas,0.0,0.0,0900-0959,-1.0,0.0,1400-1459,0.0,1235.0
254785,27,6,AA,MQ,MQ,MIA,FL,Florida,ATL,GA,Georgia,-6.0,0.0,1400-1459,13.0,13.0,1600-1659,0.0,594.0
90788,29,1,WN,WN,WN,LAS,NV,Nevada,LAX,CA,California,-1.0,0.0,1900-1959,-17.0,0.0,2000-2059,0.0,236.0
225341,11,4,F9,F9,F9,DEN,CO,Colorado,MIA,FL,Florida,36.0,36.0,1300-1359,41.0,41.0,1900-1959,0.0,1709.0
453838,26,5,AA,AA,AA,LAX,CA,California,JFK,NY,New York,-5.0,0.0,0800-0859,-8.0,0.0,1600-1659,0.0,2475.0
379484,15,1,UA,UA,UA,ATL,GA,Georgia,DEN,CO,Colorado,183.0,183.0,1600-1659,194.0,194.0,1700-1759,0.0,1199.0
149666,1,1,DL,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,-6.0,0.0,1600-1659,-15.0,0.0,1900-1959,0.0,731.0
578264,18,4,B6,B6,B6,LAX,CA,California,JFK,NY,New York,-9.0,0.0,1500-1559,24.0,24.0,2300-2359,0.0,2475.0
205260,8,1,DL,DL,DL,JFK,NY,New York,ATL,GA,Georgia,0.0,0.0,1200-1259,-14.0,0.0,1500-1559,0.0,760.0
391395,25,4,UA,UA,UA,DEN,CO,Colorado,DFW,TX,Texas,107.0,107.0,0700-0759,96.0,96.0,1000-1059,0.0,641.0
485335,25,4,AA,AA,AA,DFW,TX,Texas,LAS,NV,Nevada,10.0,10.0,0700-0759,1.0,1.0,0800-0859,0.0,1055.0
461804,24,3,AA,AA,AA,CLT,NC,North Carolina,JFK,NY,New York,34.0,34.0,1800-1859,32.0,32.0,2000-2059,0.0,541.0
468796,18,4,AA,AA,AA,CLT,NC,North Carolina,DEN,CO,Colorado,33.0,33.0,1800-1859,50.0,50.0,2000-2059,0.0,1337.0
215608,7,7,DL,DL,DL,MIA,FL,Florida,ATL,GA,Georgia,37.0,37.0,1900-1959,39.0,39.0,2100-2159,0.0,594.0
155810,21,7,DL,DL,DL,ATL,GA,Georgia,LAX,CA,California,-3.0,0.0,1800-1859,-33.0,0.0,2000-2059,0.0,1947.0
383885,1,1,UA,UA,UA,ORD,IL,Illinois,MCO,FL,Florida,-4.0,0.0,1400-1459,-27.0,0.0,1800-1859,0.0,1005.0
215778,10,3,DL,DL,DL,MIA,FL,Florida,ATL,GA,Georgia,19.0,19.0,1400-1459,5.0,5.0,1600-1659,0.0,594.0
