DayofMonth,IATA_Code_Marketing_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,CRSDepTime,DepTime,DepDelay,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,ArrTime,ArrDelay,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Div1Airport
1,UA,UA,LAX,CA,California,DEN,CO,Colorado,1845,1833,-12,1800-1859,15,1848,2153,6,2159,-15,2200-2259,0,,0,149,146,125,1,862,,,,,,
1,UA,UA,DEN,CO,Colorado,ORD,IL,Illinois,2048,2049,1,2000-2059,17,2106,1,6,7,-8,0001-0559,0,,0,147,138,115,1,888,,,,,,
1,UA,UA,DEN,CO,Colorado,ORD,IL,Illinois,1120,1120,0,1100-1159,15,1135,1435,10,1445,-6,1400-1459,0,,0,151,145,120,1,888,,,,,,
1,UA,UA,DEN,CO,Colorado,ORD,IL,Illinois,1523,1529,6,1500-1559,11,1540,1842,8,1850,-4,1800-1859,0,,0,151,141,122,1,888,,,,,,
1,UA,UA,LAX,CA,California,DEN,CO,Colorado,1610,1610,0,1600-1659,14,1624,1924,8,1932,-7,1900-1959,0,,0,149,142,120,1,862,,,,,,
1,UA,UA,DEN,CO,Colorado,LAX,CA,California,2020,2020,0,2000-2059,13,2033,2121,24,2145,-9,2100-2159,0,,0,154,145,108,1,862,,,,,,
1,UA,UA,ORD,IL,Illinois,DFW,TX,Texas,1955,2003,8,1900-1959,26,2029,2222,14,2236,-2,2200-2259,0,,0,163,153,113,1,802,,,,,,
1,UA,UA,DEN,CO,Colorado,ORD,IL,Illinois,940,938,-2,0900-0959,16,954,1259,15,1314,6,1300-1359,0,,0,148,156,125,1,888,,,,,,
1,UA,UA,MIA,FL,Florida,ORD,IL,Illinois,700,655,-5,0700-0759,14,709,857,9,906,-19,0900-0959,0,,0,205,191,168,1,1197,,,,,,
1,UA,UA,ORD,IL,Illinois,MCO,FL,Florida,715,708,-7,0700-0759,24,732,1039,6,1045,-20,1100-1159,0,,0,170,157,127,1,1005,,,,,,
1,UA,UA,ORD,IL,Illinois,MIA,FL,Florida,710,703,-7,0700-0759,17,720,1052,6,1058,-23,1100-1159,0,,0,191,175,152,1,1197,,,,,,
1,UA,UA,ORD,IL,Illinois,MCO,FL,Florida,1100,1054,-6,1100-1159,23,1117,1415,4,1419,-23,1400-1459,0,,0,162,145,118,1,1005,,,,,,
1,UA,UA,ORD,IL,Illinois,MIA,FL,Florida,1055,1044,-11,1000-1059,24,1108,1439,15,1454,-16,1500-1559,0,,0,195,190,151,1,1197,,,,,,
1,UA,UA,ORD,IL,Illinois,MCO,FL,Florida,1415,1411,-4,1400-1459,19,1430,1732,4,1736,-27,1800-1859,0,,0,168,145,122,1,1005,,,,,,
1,UA,UA,ORD,IL,Illinois,MCO,FL,Florida,1545,1531,-14,1500-1559,16,1547,1844,8,1852,-41,1900-1959,0,,0,168,141,117,1,1005,,,,,,
