,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
229445,9,2,F9,F9,DEN,CO,Colorado,DFW,TX,Texas,20.0,20.0,1100-1159,19.0,19.0,1400-1459,0.0,641.0
378696,15,1,UA,UA,DEN,CO,Colorado,DFW,TX,Texas,12.0,12.0,0900-0959,22.0,22.0,1200-1259,0.0,641.0
153909,21,7,DL,DL,ATL,GA,Georgia,DFW,TX,Texas,3.0,3.0,1700-1759,-15.0,0.0,1900-1959,0.0,731.0
397183,11,4,UA,UA,DEN,CO,Colorado,DFW,TX,Texas,77.0,77.0,2000-2059,70.0,70.0,2300-2359,0.0,641.0
414533,20,6,UA,UA,CLT,NC,North Carolina,DEN,CO,Colorado,-6.0,0.0,0800-0859,-6.0,0.0,1000-1059,0.0,1337.0
457308,6,6,AA,AA,ORD,IL,Illinois,DFW,TX,Texas,5.0,5.0,0600-0659,39.0,39.0,0800-0859,0.0,802.0
373019,29,1,UA,UA,DEN,CO,Colorado,DFW,TX,Texas,-6.0,0.0,0700-0759,-17.0,0.0,1000-1059,0.0,641.0
528818,31,3,AA,AA,DFW,TX,Texas,ORD,IL,Illinois,-7.0,0.0,0600-0659,15.0,15.0,0800-0859,0.0,802.0
156603,10,3,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,-1.0,0.0,1500-1559,-1.0,0.0,2000-2059,0.0,1199.0
495268,4,4,AA,AA,ORD,IL,Illinois,DFW,TX,Texas,2.0,2.0,1300-1359,-15.0,0.0,1600-1659,0.0,802.0
217864,11,4,DL,DL,CLT,NC,North Carolina,ATL,GA,Georgia,2.0,2.0,0700-0759,9.0,9.0,0900-0959,0.0,226.0
492856,27,6,AA,AA,CLT,NC,North Carolina,DFW,TX,Texas,-3.0,0.0,1600-1659,2.0,2.0,1800-1859,0.0,936.0
95397,30,2,WN,WN,ORD,IL,Illinois,DEN,CO,Colorado,-8.0,0.0,1600-1659,-33.0,0.0,1800-1859,0.0,888.0
463030,8,1,AA,AA,ORD,IL,Illinois,DFW,TX,Texas,3.0,3.0,1800-1859,46.0,46.0,2100-2159,0.0,802.0
