,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
243752,21,7,G4,G4,PGD,FL,Florida,TOL,OH,Ohio,-8.0,0.0,0700-0759,-9.0,0.0,1000-1059,0.0,1016.0
566303,28,7,AS,QX,DLG,AK,Alaska,ANC,AK,Alaska,90.0,90.0,1200-1259,109.0,109.0,1300-1359,0.0,329.0
325185,8,1,UA,OO,CNY,UT,Utah,DEN,CO,Colorado,-10.0,0.0,1800-1859,-12.0,0.0,1900-1959,0.0,283.0
243146,3,3,G4,G4,PGD,FL,Florida,IAG,NY,New York,60.0,60.0,1500-1559,47.0,47.0,1800-1859,0.0,1129.0
239411,25,4,G4,G4,SFB,FL,Florida,CKB,WV,West Virginia,-8.0,0.0,1600-1659,-10.0,0.0,1800-1859,0.0,727.0
334138,1,1,UA,OO,OTH,OR,Oregon,SFO,CA,California,7.0,7.0,1300-1359,-3.0,0.0,1500-1559,0.0,412.0
239087,2,2,G4,G4,TOL,OH,Ohio,AZA,AZ,Arizona,16.0,16.0,1200-1259,-27.0,0.0,1500-1559,0.0,1625.0
245216,29,1,G4,G4,HGR,MD,Maryland,SFB,FL,Florida,-8.0,0.0,2000-2059,-28.0,0.0,2200-2259,0.0,780.0
293861,25,4,NK,NK,MCO,FL,Florida,LBE,PA,Pennsylvania,-7.0,0.0,1000-1059,-11.0,0.0,1200-1259,0.0,823.0
328606,25,4,DL,OO,EKO,NV,Nevada,SLC,UT,Utah,60.0,60.0,0600-0659,144.0,144.0,0800-0859,0.0,200.0
244948,21,7,G4,G4,PSM,NH,New Hampshire,SFB,FL,Florida,27.0,27.0,1100-1159,-1.0,0.0,1400-1459,0.0,1144.0
336417,31,3,UA,OO,CNY,UT,Utah,DEN,CO,Colorado,-8.0,0.0,1800-1859,-13.0,0.0,1900-1959,0.0,283.0
245037,1,1,G4,G4,PGD,FL,Florida,TOL,OH,Ohio,-8.0,0.0,1200-1259,-15.0,0.0,1400-1459,0.0,1016.0
252621,11,4,HA,HA,PPG,TT,U.S. Pacific Trust Territories and Possessions,HNL,HI,Hawaii,-12.0,0.0,2300-2359,-23.0,0.0,0001-0559,0.0,2599.0
